google.com, 142.250.206.110, ['33.906', '35.762', '38.771'], India, 2404:6800:4002:82d::200e, ['25.945', '38.851', '54.711'], Australia 
facebook.com, 163.70.146.35, ['21.210', '32.659', '45.222'], India, 2a03:2880:f18a:8a:face:b00c:0:25de, ['15.685', '21.302', '31.636'], India 
youtube.com, 142.250.194.238, ['21.759', '28.355', '38.634'], India, 2404:6800:4002:825::200e, ['21.215', '25.391', '33.758'], Australia 
yahoo.com, 98.137.11.164, ['386.149', '459.617', '503.871'], United States, 2001:4998:44:3507::8001, ['303.975', '520.349', '743.319'], United States 
wikipedia.org, 103.102.166.224, ['93.119', '103.808', '115.498'], United States, 2001:df2:e500:ed1a::1, ['87.003', '111.924', '143.516'], United States 
taobao.com, 59.82.43.234, ['415.910', '479.079', '599.193'], China, 2401:b180:7003::6b, ['424.301', '491.886', '618.011'], China 
linkedin.com, 13.107.42.14, ['27.518', '42.287', '57.397'], Canada, 2620:1ec:21::14, ['18.804', '33.587', '38.320'], United States 
blogspot.com, 142.250.194.169, ['30.519', '35.095', '42.715'], India, 2404:6800:4009:82d::2009, ['44.234', '60.605', '78.556'], Australia 
yandex.ru, 5.255.255.77, ['234.351', '358.071', '460.480'], Russia, 2a02:6b8:a::a, ['437.040', '558.369', '660.141'], Russia 
bing.com, 204.79.197.200, ['29.821', '40.894', '51.321'], Canada, 2620:1ec:c11::200, ['20.694', '35.166', '52.453'], Canada 
instagram.com, 163.70.146.174, ['32.963', '59.190', '103.317'], India, 2a03:2880:f28a:e0:face:b00c:0:4420, ['22.462', '30.073', '42.212'], India 
mail.ru, 94.100.180.201, ['392.440', '502.252', '612.204'], Russia, 2a00:1148:1000:101:5:4:0:200, ['304.069', '414.844', '582.678'], Russia 
apple.com, 17.253.144.10, ['59.779', '63.509', '69.332'], United States, 2620:149:af0::10, ['46.553', '129.706', '386.000'], United States 
reddit.com, 151.101.1.140, ['28.137', '39.164', '53.240'], United States, 2a04:4e42:600::396, ['22.385', '31.018', '37.670'], France 
cnn.com, 151.101.67.5, ['19.882', '37.181', '60.635'], United States, 2a04:4e42::773, ['19.653', '42.653', '76.548'], United Kingdom 
blogger.com, 142.250.183.137, ['37.040', '57.398', '64.180'], India, 2404:6800:4002:81c::2009, ['13.461', '15.271', '18.819'], Australia 
adobe.com, 49.44.119.59, ['19.407', '22.859', '27.921'], India, 2405:200:1630:1600::312c:af20, ['12.958', '20.270', '27.088'], India 
about.com, 151.101.194.137, ['19.097', '27.366', '46.655'], United States, 2a04:4e42:400::645, ['23.169', '30.357', '43.334'], United Kingdom 
blogspot.in, 142.250.77.201, ['27.735', '33.119', '39.134'], United States, 2404:6800:4002:826::2009, ['13.335', '23.718', '45.870'], Australia 
indiatimes.com, 184.51.27.192, ['17.301', '27.987', '47.452'], India, 2600:140f:dc00:1b0::3621, ['18.063', '19.047', '20.079'], India 
dropbox.com, 162.125.248.18, ['167.348', '244.955', '519.024'], United States, 2620:100:6040:18::a27d:f812, ['172.631', '282.057', '454.386'], United States 
weather.com, 23.35.42.204, ['26.620', '35.080', '51.211'], India, 2600:140f:5:695::2e03, ['21.291', '34.737', '63.922'], India 
wikia.com, 151.101.192.194, ['52.496', '59.826', '62.816'], United States, 2a04:4e42::194, ['44.195', '59.863', '95.726'], United Kingdom 
wikimedia.org, 103.102.166.224, ['100.553', '111.926', '121.598'], United States, 2001:df2:e500:ed1a::1, ['95.559', '117.715', '151.386'], United States 
blogfa.com, 104.21.73.98, ['86.558', '101.583', '114.691'], United States, 2606:4700:3036::6815:4962, ['310.822', '433.979', '533.345'], Canada 
bbc.com, 151.101.192.81, ['41.197', '93.988', '204.044'], United States, 2a04:4e42:200::81, ['20.406', '23.917', '29.257'], United States 
theguardian.com, 151.101.129.111, ['26.772', '29.811', '37.202'], United States, 2a04:4e42:200::367, ['19.851', '27.702', '43.460'], United States 
sourceforge.net, 172.64.150.145, ['27.078', '40.796', '59.563'], Canada, 2606:4700:83b2:1a4d:7ac5:0:41c0:fc0, ['54.082', '66.884', '100.240'], India 
skype.com, 20.112.250.133, ['263.311', '430.164', '621.077'], United States, 2603:1030:20e:3::23c, ['248.558', '451.539', '599.850'], United States 
java.com, 23.200.216.25, ['27.109', '38.203', '63.681'], India, 2405:200:1604::17c8:d828, ['15.698', '24.125', '36.749'], India 
pandora.com, 199.116.164.229, ['308.702', '499.273', '684.981'], United States, 2620:106:e001:f00d::e7, ['267.297', '416.148', '597.962'], United States 
mashable.com, 172.64.145.239, ['36.189', '50.185', '71.582'], Canada, 2606:4700:9640:28c9:f70c:481:509:fd10, ['19.578', '22.954', '28.896'], France 
photobucket.com, 52.84.45.92, ['158.351', '297.841', '463.199'], Ireland, 2600:9000:2175:8000:c:873e:f1c0:93a1, ['143.190', '234.400', '569.406'], United States 
taringa.net, 18.164.217.76, ['29.278', '41.428', '51.485'], India, 2600:9000:256d:9200:4:942:c0c0:93a1, ['17.968', '25.543', '37.230'], United States 
ikea.com, 23.215.194.104, ['26.593', '35.617', '43.649'], India, 2600:140f:2e00:390::2eb6, ['22.003', '29.118', '51.402'], India 
infusionsoft.com, 104.18.6.143, ['26.673', '38.376', '60.671'], United States, 2606:4700:9643:7ccd:2664:489:abc9:cb9d, ['75.153', '94.103', '109.363'], France 
ndtv.com, 184.51.25.171, ['25.236', '35.401', '44.919'], India, 2600:140f:dc00:18b::24e8, ['23.795', '33.646', '40.475'], India 
snapdeal.com, 99.86.47.115, ['27.642', '40.751', '52.537'], India, 2600:9000:213a:2800:18:8de9:2dc0:93a1, ['23.704', '30.479', '38.135'], United States 
rediff.com, 2.21.20.23, ['179.809', '298.742', '540.661'], Germany, 2600:1417:12::7d38:c73a, ['324.688', '467.014', '570.828'], Singapore 
fbcdn.net, 57.144.146.1, ['24.289', '51.782', '79.275'], India, 2a03:2880:f349:1:face:b00c:0:25de, ['19.233', '35.300', '64.429'], India 
rutracker.org, 104.21.32.39, ['337.277', '520.497', '727.251'], United States, 2606:4700:3034::ac43:b6c4, ['185.211', '337.235', '517.199'], Canada 
moz.com, 104.16.64.25, ['20.348', '26.608', '38.614'], United States, 2606:4700:90c3:72b5:8464:482:6810:4019, ['14.003', '23.324', '35.314'], The Netherlands 
chaturbate.com, 104.16.41.196, ['46.259', '57.074', '67.497'], United States, 2606:4700:90c3:1af2:bb64:47f:6810:29c4, ['18.758', '27.264', '39.159'], The Netherlands 
free.fr, 212.27.48.10, ['172.513', '301.938', '468.061'], France, 2a01:e0c:1::1, ['163.680', '222.931', '346.053'], The Netherlands 
4dsply.com, 104.16.202.119, ['23.251', '37.482', '58.109'], United States, 2606:4700:9642:a658:570c:47b:6810:ca77, ['19.027', '20.770', '22.083'], France 
ehow.com, 172.64.150.140, ['20.387', '28.446', '38.335'], Canada, 2606:4700:9642:e631:6964:489:ad7b:8765, ['19.387', '24.447', '33.161'], France 
speedtest.net, 151.101.194.219, ['27.430', '40.405', '64.572'], United States, 2a04:4e42:600::731, ['23.244', '33.362', '48.175'], France 
bitauto.com, 54.192.171.127, ['29.605', '39.745', '49.388'], Japan, 2600:9000:2039:f600:a:4ec4:5e40:93a1, ['19.487', '28.826', '36.438'], Singapore 
goo.gl, 142.250.192.206, ['29.108', '39.819', '56.638'], India, 2404:6800:4002:819::200e, ['70.619', '83.978', '103.543'], Australia 
intoday.in, 49.44.117.98, ['15.507', '28.605', '46.246'], India, 2405:200:1604::312c:5f8f, ['16.261', '21.487', '31.366'], India 
wideinfo.org, 172.66.40.254, ['26.232', '43.371', '56.424'], Canada, 2606:4700:3108::ac42:28fe, ['47.911', '59.033', '73.407'], Canada 
elpais.com, 49.44.95.159, ['23.475', '36.101', '44.668'], India, 2405:200:1604::312c:5fa8, ['20.949', '36.481', '55.595'], India 
